MJD,mA,e_mA,mB,e_mB,mC,e_mC,mD,e_mD,mbeta,e_mbeta
7285.926,17.221,0.010,18.241,0.020,18.515,0.027,18.862,0.026,17.806,0.006
7293.888,17.213,0.018,18.231,0.038,18.578,0.053,18.895,0.051,17.796,0.012
7305.883,17.172,0.010,18.205,0.021,18.502,0.029,18.919,0.030,17.811,0.007
7321.882,17.172,0.017,18.212,0.035,18.490,0.047,18.892,0.048,17.799,0.011
7333.870,17.164,0.009,18.211,0.018,18.426,0.024,18.868,0.025,17.801,0.006
7368.812,17.173,0.009,18.238,0.019,18.431,0.025,18.883,0.026,17.814,0.006
7375.890,17.192,0.015,18.209,0.030,18.432,0.040,18.945,0.042,17.814,0.010
7579.133,16.939,0.009,18.167,0.020,19.181,0.037,18.893,0.027,17.809,0.006
7585.042,16.967,0.017,18.139,0.037,19.125,0.070,18.840,0.051,17.790,0.012
7598.115,16.949,0.008,18.159,0.018,19.069,0.033,18.864,0.025,17.800,0.006
7606.013,16.989,0.016,18.189,0.036,19.173,0.068,18.786,0.047,17.811,0.012
7626.036,17.063,0.009,18.179,0.019,19.231,0.036,18.911,0.026,17.814,0.006
7634.926,17.086,0.009,18.155,0.020,19.195,0.038,18.844,0.027,17.815,0.006
7639.897,17.090,0.010,18.141,0.021,19.112,0.039,18.827,0.029,17.800,0.007
7648.900,17.135,0.021,18.149,0.044,19.216,0.085,18.830,0.060,17.833,0.014
7653.901,17.144,0.010,18.142,0.020,19.260,0.039,18.811,0.027,17.811,0.006
7661.895,17.150,0.010,18.155,0.020,19.199,0.039,18.917,0.029,17.794,0.007
7676.823,17.147,0.040,18.168,0.081,19.194,0.156,18.815,0.110,17.772,0.026
7681.835,17.214,0.011,18.193,0.021,19.220,0.041,18.904,0.029,17.803,0.007
7690.845,17.239,0.012,18.183,0.023,19.346,0.048,18.915,0.033,17.800,0.008
7709.824,17.226,0.010,18.178,0.019,19.331,0.040,18.854,0.027,17.797,0.006
7728.815,17.254,0.014,18.169,0.027,19.375,0.057,18.818,0.037,17.802,0.009
7735.805,17.241,0.017,18.161,0.032,19.279,0.065,18.842,0.044,17.781,0.011
7945.108,17.227,0.022,18.015,0.040,19.298,0.086,18.759,0.056,17.830,0.014
7959.082,17.242,0.014,18.021,0.025,19.223,0.051,18.655,0.033,17.823,0.009
7965.048,17.233,0.010,18.040,0.019,19.210,0.039,18.661,0.025,17.798,0.007
7978.974,17.238,0.011,18.041,0.021,19.212,0.043,18.692,0.028,17.805,0.007
7994.999,17.250,0.012,18.032,0.021,19.281,0.045,18.693,0.029,17.808,0.007
7999.889,17.268,0.027,18.012,0.048,19.289,0.103,18.618,0.063,17.812,0.017
8006.914,17.223,0.012,18.026,0.022,19.214,0.046,18.599,0.029,17.796,0.008
8013.915,17.228,0.012,18.002,0.022,19.298,0.049,18.620,0.030,17.807,0.008
8034.875,17.184,0.012,18.013,0.022,19.372,0.050,18.602,0.029,17.805,0.008
8043.873,17.221,0.011,18.007,0.021,19.282,0.045,18.618,0.027,17.815,0.007
8055.807,17.231,0.024,18.017,0.044,19.274,0.093,18.623,0.058,17.798,0.015
8069.844,17.273,0.013,18.043,0.023,19.302,0.049,18.607,0.030,17.813,0.008
8115.873,17.294,0.019,18.084,0.035,19.319,0.075,18.617,0.045,17.793,0.012
8303.069,17.345,0.048,17.982,0.082,19.523,0.199,18.261,0.093,17.792,0.029
8307.063,17.343,0.014,18.005,0.024,19.464,0.056,18.299,0.027,17.801,0.008
8311.042,17.323,0.021,18.043,0.038,19.387,0.083,18.362,0.044,17.803,0.013
8315.025,17.340,0.015,18.076,0.028,19.559,0.065,18.265,0.030,17.804,0.009
8319.018,17.344,0.025,18.057,0.044,19.277,0.092,18.352,0.050,17.828,0.015
8323.023,17.310,0.023,18.081,0.042,19.403,0.093,18.371,0.048,17.819,0.014
8330.994,17.344,0.034,18.031,0.060,19.424,0.135,18.299,0.067,17.776,0.021
8336.030,17.303,0.016,18.074,0.029,19.415,0.064,18.323,0.032,17.807,0.010
8338.964,17.316,0.016,18.061,0.029,19.428,0.064,18.312,0.032,17.780,0.010
8344.034,17.330,0.043,18.037,0.077,19.311,0.165,18.289,0.086,17.791,0.026
8346.981,17.305,0.014,18.047,0.024,19.384,0.054,18.305,0.027,17.795,0.008
8350.948,17.334,0.018,18.037,0.032,19.315,0.069,18.261,0.035,17.803,0.011
8354.917,17.365,0.040,18.075,0.071,19.370,0.153,18.268,0.077,17.838,0.024
8359.909,17.316,0.022,18.027,0.038,19.387,0.085,18.308,0.043,17.807,0.013
8371.897,17.323,0.015,18.068,0.028,19.409,0.061,18.259,0.030,17.812,0.009
8378.907,17.355,0.016,18.037,0.027,19.371,0.060,18.197,0.029,17.794,0.009
8386.849,17.344,0.041,18.082,0.073,19.388,0.159,18.209,0.077,17.787,0.025
8390.861,17.362,0.013,18.039,0.023,19.349,0.051,18.184,0.025,17.803,0.008
8394.849,17.375,0.032,18.066,0.055,19.338,0.119,18.208,0.059,17.798,0.019
8406.837,17.378,0.015,18.066,0.026,19.367,0.057,18.193,0.028,17.798,0.009
8420.951,17.371,0.015,18.145,0.027,19.455,0.058,18.228,0.028,17.806,0.009
8422.832,17.399,0.013,18.096,0.024,19.406,0.052,18.226,0.025,17.798,0.008
8426.823,17.410,0.013,18.094,0.023,19.477,0.053,18.228,0.025,17.813,0.008
8432.862,17.430,0.014,18.110,0.024,19.473,0.053,18.300,0.026,17.834,0.008
8442.801,17.464,0.024,18.122,0.041,19.518,0.093,18.229,0.043,17.801,0.014
8447.800,17.450,0.016,18.134,0.028,19.399,0.060,18.213,0.029,17.792,0.009
8450.807,17.461,0.016,18.145,0.028,19.552,0.063,18.250,0.029,17.814,0.009
8454.808,17.477,0.015,18.177,0.026,19.604,0.061,18.227,0.027,17.816,0.009
8466.835,17.467,0.031,18.072,0.053,19.476,0.121,18.262,0.058,17.780,0.018
8470.830,17.471,0.020,18.131,0.035,19.476,0.078,18.217,0.036,17.785,0.012
8482.833,17.472,0.015,18.165,0.026,19.408,0.055,18.236,0.027,17.814,0.008
8671.113,17.488,0.014,18.025,0.024,19.498,0.055,17.742,0.021,17.795,0.008
8673.141,17.482,0.014,18.031,0.023,19.467,0.054,17.786,0.021,17.799,0.008
8686.100,17.497,0.033,18.033,0.055,19.594,0.134,17.836,0.050,17.793,0.019
8690.065,17.476,0.015,18.062,0.025,19.525,0.058,17.873,0.023,17.803,0.008
8693.078,17.524,0.014,18.043,0.023,19.517,0.055,17.884,0.022,17.815,0.008
8697.033,17.529,0.015,18.072,0.025,19.549,0.059,17.875,0.023,17.823,0.008
8701.067,17.533,0.014,18.106,0.024,19.558,0.056,17.889,0.022,17.802,0.008
8709.102,17.580,0.033,18.085,0.053,19.439,0.118,17.931,0.049,17.800,0.018
8713.964,17.600,0.056,18.060,0.087,19.467,0.200,17.872,0.080,17.793,0.030
8718.017,17.573,0.019,18.093,0.031,19.566,0.073,17.946,0.029,17.798,0.010
8721.947,17.578,0.019,18.094,0.031,19.623,0.076,17.936,0.029,17.807,0.011
8729.027,17.595,0.015,18.091,0.023,19.548,0.055,17.946,0.022,17.814,0.008
8737.038,17.623,0.035,18.072,0.055,19.479,0.127,17.957,0.053,17.809,0.019
8741.899,17.582,0.042,18.099,0.068,19.576,0.159,17.920,0.062,17.776,0.023
8744.926,17.590,0.017,18.094,0.028,19.553,0.065,17.958,0.026,17.805,0.009
8758.885,17.612,0.014,18.076,0.021,19.430,0.048,17.973,0.020,17.803,0.007
8760.847,17.614,0.013,18.079,0.021,19.443,0.047,17.990,0.020,17.817,0.007
8764.846,17.613,0.023,18.140,0.037,19.489,0.082,18.013,0.035,17.809,0.012
8770.847,17.589,0.021,18.160,0.035,19.482,0.076,18.049,0.033,17.795,0.011
8772.892,17.626,0.019,18.108,0.030,19.673,0.073,18.017,0.029,17.824,0.010
8778.842,17.652,0.029,18.150,0.047,19.449,0.102,18.056,0.045,17.801,0.015
8813.838,17.705,0.012,18.165,0.019,19.612,0.044,18.070,0.018,17.806,0.006
8817.846,17.708,0.014,18.135,0.021,19.644,0.050,18.076,0.020,17.811,0.007
8830.816,17.687,0.014,18.203,0.022,19.760,0.055,18.106,0.021,17.816,0.007
