MJD,mA,e_mA,mB,e_mB,mC,e_mC,mD,e_mD,mbeta,e_mbeta
8344.037,17.633,0.018,18.393,0.023,19.673,0.081,18.631,0.030,18.678,0.017
8346.984,17.605,0.010,18.401,0.013,19.614,0.044,18.653,0.017,18.678,0.009
8350.950,17.615,0.016,18.414,0.021,19.576,0.070,18.598,0.027,18.689,0.015
8354.919,17.610,0.036,18.382,0.046,19.578,0.154,18.574,0.058,18.650,0.034
8359.912,17.643,0.017,18.437,0.022,19.634,0.073,18.603,0.027,18.679,0.016
8378.909,17.647,0.013,18.413,0.017,19.633,0.058,18.585,0.021,18.675,0.012
8386.852,17.662,0.035,18.445,0.046,19.668,0.153,18.516,0.054,18.673,0.032
8390.863,17.666,0.010,18.419,0.013,19.610,0.042,18.544,0.015,18.699,0.009
8394.851,17.646,0.021,18.450,0.028,19.717,0.095,18.540,0.033,18.678,0.019
8406.840,17.692,0.012,18.441,0.015,19.719,0.052,18.543,0.018,18.681,0.011
8422.834,17.704,0.010,18.451,0.013,19.819,0.047,18.600,0.016,18.695,0.009
8426.825,17.712,0.010,18.462,0.013,19.808,0.045,18.596,0.015,18.693,0.009
8432.864,17.748,0.010,18.489,0.013,19.970,0.048,18.564,0.015,18.694,0.009
8442.804,17.772,0.022,18.508,0.029,19.883,0.104,18.588,0.034,18.689,0.020
8447.803,17.793,0.013,18.523,0.016,19.900,0.059,18.643,0.020,18.686,0.011
8450.809,17.788,0.011,18.544,0.015,20.017,0.055,18.617,0.017,18.684,0.010
8454.810,17.797,0.011,18.541,0.014,20.073,0.055,18.614,0.017,18.695,0.010
8466.837,17.750,0.029,18.503,0.038,19.802,0.131,18.681,0.047,18.650,0.026
8470.833,17.804,0.019,18.522,0.025,20.003,0.094,18.581,0.029,18.679,0.017
8482.836,17.802,0.012,18.515,0.015,20.023,0.058,18.552,0.018,18.678,0.010
8671.116,17.765,0.011,18.385,0.014,19.669,0.047,18.043,0.013,18.688,0.010
8673.144,17.772,0.011,18.387,0.013,19.785,0.047,18.040,0.013,18.682,0.009
8686.102,17.820,0.029,18.395,0.035,19.803,0.126,18.062,0.034,18.665,0.025
8690.068,17.847,0.013,18.401,0.015,19.788,0.054,18.109,0.015,18.701,0.011
8693.081,17.839,0.011,18.409,0.013,19.781,0.047,18.150,0.013,18.690,0.009
8697.035,17.849,0.012,18.447,0.015,19.830,0.053,18.170,0.015,18.690,0.010
8701.070,17.878,0.011,18.422,0.013,19.827,0.048,18.178,0.013,18.682,0.009
8709.105,17.899,0.030,18.443,0.036,19.970,0.138,18.215,0.037,18.669,0.025
8713.966,17.912,0.047,18.484,0.057,19.878,0.206,18.228,0.057,18.641,0.039
8718.019,17.911,0.016,18.461,0.019,19.901,0.070,18.241,0.019,18.683,0.013
8721.950,17.886,0.015,18.481,0.018,19.853,0.064,18.242,0.018,18.666,0.012
8726.028,17.902,0.013,18.464,0.015,19.868,0.056,18.272,0.016,18.699,0.011
8729.030,17.918,0.012,18.446,0.013,19.884,0.050,18.241,0.014,18.696,0.009
8733.966,17.928,0.059,18.422,0.068,19.841,0.251,18.246,0.072,18.688,0.049
8741.901,17.916,0.037,18.490,0.044,19.825,0.156,18.292,0.046,18.677,0.031
8744.928,17.940,0.015,18.450,0.017,19.753,0.059,18.247,0.018,18.682,0.012
8758.888,17.929,0.010,18.438,0.012,19.872,0.043,18.267,0.012,18.672,0.008
8760.849,17.938,0.011,18.457,0.013,19.729,0.045,18.269,0.014,18.693,0.009
8764.848,17.924,0.020,18.463,0.024,19.844,0.086,18.312,0.025,18.688,0.017
8770.849,17.943,0.021,18.450,0.024,19.914,0.089,18.316,0.025,18.697,0.017
8772.894,17.994,0.070,18.433,0.078,19.969,0.303,18.281,0.083,18.663,0.055
8778.845,17.979,0.016,18.505,0.019,19.885,0.067,18.349,0.020,18.694,0.013
8784.867,17.977,0.010,18.523,0.011,19.940,0.041,18.361,0.012,18.698,0.008
8813.841,18.023,0.009,18.476,0.010,19.957,0.039,18.380,0.011,18.677,0.007
8817.849,18.004,0.010,18.529,0.012,19.980,0.045,18.396,0.013,18.688,0.008
8830.818,18.017,0.012,18.525,0.013,20.074,0.052,18.426,0.015,18.691,0.009
