57971.23002 -12.95335 0.00300 -12.32733 0.00506 -12.26060 0.00609 -12.00736 0.01150
57972.23475 -12.96751 0.00411 -12.28336 0.03379 -12.22428 0.00784 -11.98846 0.00967
57974.24541 -12.95902 0.01291 -12.33142 0.01377 -12.26468 0.00662 -12.00500 0.00648
57979.18276 -12.94595 0.00177 -12.31259 0.00352 -12.27296 0.00314 -11.99024 0.00313
57980.18592 -12.94753 0.00330 -12.29303 0.00285 -12.26798 0.00484 -11.98567 0.00320
57981.16184 -12.94563 0.00183 -12.30177 0.00238 -12.27074 0.00243 -11.99219 0.00290
57982.19681 -12.94628 0.00305 -12.29083 0.00373 -12.27823 0.00287 -11.98621 0.00267
57983.19282 -12.95533 0.00282 -12.28688 0.00508 -12.28033 0.00241 -11.98365 0.00294
57985.22616 -12.94762 0.00610 -12.28689 0.01026 -12.28439 0.00345 -11.98672 0.00665
57986.19314 -12.94438 0.00252 -12.29032 0.00301 -12.29006 0.00311 -11.97651 0.00342
57987.18858 -12.94296 0.00259 -12.28781 0.00635 -12.29725 0.00313 -11.97806 0.00396
57988.19795 -12.96319 0.01036 -12.20634 0.01807 -12.33574 0.00866 -12.00876 0.01324
57990.17501 -12.96428 0.00618 -12.29411 0.00716 -12.31726 0.00390 -11.98177 0.00961
57991.26323 -12.98873 0.00224 -12.26287 0.02022 -12.32773 0.00382 -11.98950 0.00485
57992.19234 -12.95215 0.00392 -12.28570 0.00870 -12.32552 0.00275 -11.97416 0.00347
57993.19827 -12.96285 0.00550 -12.26729 0.01329 -12.33998 0.00305 -11.97853 0.00648
57994.20903 -12.95155 0.00599 -12.29662 0.01136 -12.33082 0.00347 -11.97254 0.00611
57998.20943 -12.91510 0.00764 -12.31610 0.00940 -12.34883 0.00937 -11.97669 0.01021
58000.19109 -12.93971 0.01036 -12.27711 0.01807 -12.35535 0.01196 -11.97059 0.01687
58001.15440 -12.93610 0.00326 -12.28777 0.00785 -12.35476 0.00523 -11.96720 0.01422
58003.21573 -12.94231 0.00607 -12.28532 0.00743 -12.35922 0.01234 -11.96402 0.00928
58004.20645 -12.94236 0.00510 -12.26455 0.00610 -12.36977 0.00557 -11.97123 0.01031
58008.19987 -12.94071 0.00286 -12.28355 0.00964 -12.37487 0.00623 -11.98447 0.00569
58010.20640 -12.94635 0.00377 -12.28148 0.00488 -12.37194 0.00379 -11.94866 0.00758
58011.12928 -12.94879 0.00387 -12.28827 0.01165 -12.37272 0.00372 -11.97251 0.00370
58012.04740 -12.95003 0.00904 -12.29093 0.00694 -12.37993 0.00289 -11.95890 0.00488
58013.14570 -12.96504 0.00509 -12.28439 0.00418 -12.36782 0.00275 -11.95190 0.00799
58014.08072 -12.94620 0.00464 -12.30811 0.00231 -12.37178 0.00225 -11.95554 0.00293
58017.05552 -12.96538 0.00417 -12.29327 0.00412 -12.36112 0.00289 -11.95716 0.00464
58018.09653 -12.96081 0.00148 -12.29549 0.00217 -12.35984 0.00245 -11.95516 0.00347
58019.14585 -12.96809 0.00308 -12.30011 0.00221 -12.35781 0.00266 -11.95017 0.00410
58020.16681 -12.97648 0.00328 -12.28129 0.00535 -12.35590 0.00223 -11.94715 0.00386
58021.18193 -12.98981 0.00168 -12.29723 0.00870 -12.35934 0.00240 -11.95469 0.00317
58022.17956 -12.99288 0.00858 -12.27567 0.02021 -12.35427 0.00266 -11.95547 0.01071
58023.18721 -12.98934 0.00192 -12.30613 0.01012 -12.35341 0.00516 -11.94449 0.00507
58025.15652 -13.00281 0.00598 -12.32682 0.01023 -12.35224 0.00407 -11.94738 0.00906
58026.16080 -13.00465 0.00419 -12.31956 0.00332 -12.34688 0.00375 -11.94866 0.00446
58028.16334 -13.01678 0.00617 -12.33728 0.01141 -12.35966 0.00833 -11.95974 0.04164
58029.17210 -13.01327 0.00629 -12.32151 0.01477 -12.34946 0.00509 -11.94982 0.00714
58030.15695 -13.00995 0.01012 -12.35717 0.02099 -12.34024 0.00816 -11.94761 0.00781
58032.01980 -13.04161 0.01118 -12.33142 0.01152 -12.36169 0.01645 -11.95243 0.00942
58033.17717 -13.04454 0.00728 -12.34724 0.01553 -12.35111 0.00539 -11.95110 0.00762
58033.99953 -13.05917 0.01161 -12.33148 0.03150 -12.38235 0.00447 -11.95734 0.02059
58035.03803 -13.05841 0.00234 -12.32524 0.00364 -12.35908 0.00293 -11.95172 0.00394
58036.05021 -13.05510 0.00257 -12.35170 0.00784 -12.36230 0.00423 -11.96138 0.00360
