MJD,mA,e_mA,mB,e_mB,mC,e_mC,mD,e_mD,mS,e_mS
4693.004,16.549,0.015,17.902,0.038,18.676,0.074,17.677,0.031,17.220,0.009
4694.018,16.543,0.024,17.939,0.062,18.607,0.115,17.714,0.050,17.215,0.014
4700.909,16.549,0.012,17.899,0.029,18.789,0.060,17.588,0.023,17.216,0.007
4701.930,16.545,0.013,17.878,0.032,18.629,0.061,17.653,0.026,17.216,0.008
4703.036,16.569,0.011,17.897,0.028,18.692,0.056,17.579,0.022,17.224,0.007
4704.936,16.512,0.009,17.931,0.023,18.636,0.044,17.682,0.019,17.212,0.005
4705.980,16.526,0.008,17.868,0.021,18.644,0.041,17.628,0.017,17.207,0.005
4706.959,16.538,0.008,17.873,0.021,18.627,0.040,17.656,0.017,17.216,0.005
4707.913,16.547,0.010,17.896,0.026,18.618,0.049,17.619,0.020,17.209,0.006
4708.909,16.541,0.010,17.864,0.024,18.626,0.047,17.606,0.019,17.213,0.006
4709.957,16.524,0.014,17.862,0.036,18.602,0.069,17.632,0.029,17.212,0.009
4710.948,16.531,0.009,17.887,0.024,18.592,0.045,17.630,0.019,17.223,0.006
4711.915,16.537,0.010,17.857,0.024,18.683,0.048,17.616,0.019,17.216,0.006
4712.908,16.530,0.009,17.881,0.022,18.601,0.041,17.613,0.017,17.206,0.005
4716.900,16.537,0.010,17.891,0.025,18.622,0.049,17.644,0.020,17.217,0.006
4728.924,16.514,0.009,17.856,0.022,18.645,0.042,17.661,0.018,17.223,0.005
4730.992,16.517,0.007,17.872,0.017,18.624,0.033,17.619,0.014,17.217,0.004
4731.933,16.524,0.007,17.875,0.018,18.676,0.035,17.598,0.014,17.212,0.004
4738.016,16.499,0.007,17.853,0.018,18.642,0.035,17.628,0.015,17.211,0.004
4742.852,16.524,0.008,17.884,0.019,18.640,0.037,17.637,0.015,17.227,0.005
4744.012,16.512,0.007,17.846,0.019,18.618,0.037,17.602,0.015,17.217,0.005
4744.968,16.500,0.009,17.830,0.023,18.654,0.045,17.605,0.018,17.210,0.005
4747.844,16.513,0.009,17.897,0.023,18.635,0.043,17.652,0.018,17.229,0.005
4754.885,16.523,0.012,17.889,0.031,18.665,0.060,17.643,0.025,17.215,0.007
4759.884,16.526,0.007,17.884,0.018,18.671,0.036,17.615,0.014,17.218,0.004
4781.901,16.496,0.023,17.805,0.057,18.771,0.121,17.536,0.045,17.216,0.014
4784.929,16.489,0.010,17.874,0.027,18.669,0.053,17.611,0.021,17.203,0.006
4786.836,16.493,0.008,17.863,0.020,18.655,0.040,17.616,0.016,17.206,0.005
4787.877,16.492,0.008,17.900,0.020,18.671,0.039,17.589,0.016,17.207,0.005
4788.876,16.494,0.008,17.873,0.021,18.668,0.042,17.608,0.017,17.196,0.005
4795.880,16.471,0.024,17.878,0.062,18.813,0.131,17.593,0.049,17.203,0.015
4799.860,16.458,0.008,17.866,0.021,18.837,0.044,17.612,0.017,17.200,0.005
4808.828,16.468,0.013,17.872,0.035,18.696,0.069,17.605,0.027,17.198,0.008
4817.828,16.466,0.007,17.870,0.019,18.680,0.038,17.597,0.015,17.203,0.005
4818.826,16.469,0.008,17.879,0.020,18.687,0.040,17.615,0.016,17.216,0.005
4821.843,16.483,0.008,17.869,0.020,18.764,0.041,17.561,0.015,17.210,0.005
4828.862,16.471,0.008,17.867,0.021,18.698,0.041,17.578,0.016,17.214,0.005
5047.151,16.467,0.006,17.880,0.015,18.782,0.031,17.488,0.011,17.220,0.004
5047.990,16.477,0.018,17.878,0.047,18.832,0.100,17.490,0.035,17.220,0.011
5055.937,16.480,0.021,17.889,0.054,18.791,0.113,17.482,0.040,17.222,0.013
5056.927,16.481,0.009,17.866,0.024,18.829,0.052,17.438,0.018,17.214,0.006
5057.933,16.454,0.009,17.892,0.024,18.775,0.049,17.493,0.018,17.212,0.006
5058.926,16.464,0.010,17.853,0.025,18.779,0.053,17.497,0.019,17.219,0.006
5059.996,16.457,0.009,17.903,0.023,18.811,0.047,17.487,0.017,17.216,0.005
5061.966,16.467,0.009,17.903,0.024,18.826,0.050,17.482,0.018,17.219,0.006
5062.909,16.457,0.014,17.894,0.038,18.706,0.075,17.523,0.029,17.230,0.009
5063.935,16.464,0.008,17.895,0.021,18.781,0.043,17.513,0.016,17.216,0.005
5065.006,16.467,0.009,17.888,0.024,18.766,0.049,17.503,0.018,17.217,0.006
5065.939,16.471,0.009,17.875,0.022,18.826,0.048,17.479,0.017,17.213,0.005
5068.995,16.469,0.009,17.879,0.023,18.736,0.046,17.519,0.017,17.215,0.005
5070.020,16.457,0.009,17.908,0.023,18.797,0.047,17.494,0.017,17.230,0.005
5071.896,16.463,0.011,17.872,0.029,18.820,0.062,17.512,0.022,17.212,0.007
5072.897,16.480,0.021,17.903,0.054,18.822,0.114,17.469,0.040,17.232,0.013
5074.928,16.473,0.022,17.907,0.057,18.823,0.120,17.468,0.042,17.213,0.013
5075.933,16.465,0.029,17.942,0.078,18.759,0.156,17.516,0.058,17.219,0.018
5082.927,16.481,0.016,17.911,0.041,18.840,0.086,17.501,0.031,17.220,0.010
5083.894,16.487,0.009,17.880,0.024,18.784,0.050,17.480,0.018,17.216,0.006
5084.883,16.502,0.009,17.910,0.025,18.894,0.053,17.458,0.018,17.213,0.006
5085.882,16.502,0.018,17.915,0.046,18.769,0.093,17.460,0.033,17.221,0.011
5086.883,16.477,0.009,17.909,0.024,18.791,0.049,17.500,0.018,17.213,0.006
5087.876,16.487,0.009,17.927,0.025,18.834,0.052,17.490,0.018,17.218,0.006
5088.934,16.502,0.009,17.918,0.022,18.805,0.046,17.495,0.016,17.210,0.005
5089.945,16.511,0.009,17.910,0.023,18.804,0.048,17.504,0.017,17.217,0.005
5092.017,16.546,0.011,17.896,0.027,18.840,0.058,17.433,0.020,17.208,0.006
5097.860,16.536,0.010,17.932,0.026,18.778,0.052,17.499,0.019,17.228,0.006
5098.860,16.542,0.010,17.893,0.025,18.737,0.050,17.489,0.019,17.213,0.006
5099.852,16.549,0.010,17.912,0.026,18.841,0.055,17.500,0.020,17.216,0.006
5100.874,16.544,0.010,17.949,0.027,18.930,0.059,17.502,0.020,17.220,0.006
5108.861,16.576,0.033,18.028,0.087,18.676,0.161,17.563,0.063,17.241,0.019
5110.011,16.586,0.017,17.902,0.042,18.934,0.092,17.498,0.031,17.224,0.010
5110.871,16.573,0.012,17.935,0.031,18.754,0.062,17.541,0.023,17.220,0.007
5111.938,16.601,0.011,17.878,0.028,18.841,0.060,17.514,0.021,17.220,0.007
5112.884,16.593,0.009,17.939,0.023,18.845,0.047,17.532,0.017,17.218,0.005
5113.839,16.620,0.010,17.888,0.025,18.901,0.054,17.487,0.018,17.221,0.006
5114.879,16.573,0.010,17.895,0.025,18.843,0.053,17.546,0.019,17.214,0.006
5115.847,16.588,0.020,17.971,0.051,18.847,0.105,17.527,0.038,17.235,0.012
5116.898,16.624,0.009,17.925,0.023,18.913,0.050,17.500,0.017,17.216,0.005
5117.839,16.591,0.011,17.896,0.026,18.776,0.053,17.497,0.019,17.218,0.006
5118.839,16.600,0.009,17.918,0.022,18.843,0.047,17.478,0.016,17.216,0.005
5119.840,16.602,0.009,17.888,0.023,18.789,0.047,17.484,0.017,17.211,0.005
5122.858,16.608,0.008,17.910,0.020,18.827,0.041,17.506,0.015,17.220,0.005
5124.953,16.611,0.008,17.882,0.019,18.818,0.040,17.488,0.014,17.227,0.004
5126.864,16.615,0.016,17.935,0.041,18.801,0.083,17.492,0.030,17.218,0.009
5127.829,16.596,0.008,17.927,0.020,18.857,0.042,17.519,0.015,17.224,0.005
5128.880,16.583,0.008,17.987,0.021,18.859,0.043,17.603,0.016,17.221,0.005
5129.828,16.616,0.009,17.906,0.022,18.803,0.044,17.498,0.016,17.226,0.005
5130.838,16.600,0.016,17.886,0.039,18.733,0.078,17.564,0.030,17.221,0.009
6462.170,17.172,0.011,18.233,0.024,18.683,0.041,18.317,0.023,17.224,0.005
6473.137,17.157,0.015,18.192,0.032,18.777,0.057,18.325,0.030,17.223,0.007
6492.037,17.170,0.018,18.286,0.041,18.639,0.067,18.217,0.036,17.207,0.008
6502.041,17.140,0.017,18.222,0.037,18.681,0.063,18.322,0.035,17.227,0.008
6510.988,17.152,0.013,18.267,0.030,18.686,0.050,18.375,0.029,17.219,0.006
6514.128,17.152,0.011,18.235,0.024,18.652,0.040,18.377,0.023,17.215,0.005
6520.081,17.151,0.011,18.223,0.024,18.643,0.039,18.347,0.023,17.222,0.005
6530.029,17.144,0.014,18.208,0.030,18.724,0.052,18.405,0.030,17.195,0.006
6534.065,17.150,0.011,18.227,0.024,18.725,0.042,18.411,0.024,17.211,0.005
6538.008,17.105,0.013,18.278,0.030,18.680,0.049,18.485,0.030,17.243,0.006
6543.930,17.144,0.012,18.227,0.027,18.741,0.047,18.470,0.027,17.204,0.006
6557.906,17.211,0.016,18.193,0.034,18.800,0.061,18.559,0.036,17.236,0.007
6564.934,17.167,0.011,18.230,0.025,18.707,0.042,18.514,0.025,17.223,0.005
6571.884,17.167,0.012,18.245,0.026,18.669,0.043,18.560,0.027,17.220,0.005
6578.832,17.173,0.018,18.211,0.040,18.676,0.068,18.558,0.042,17.214,0.008
6585.900,17.166,0.016,18.241,0.036,18.698,0.060,18.598,0.038,17.216,0.007
6592.845,17.171,0.013,18.180,0.029,18.769,0.052,18.681,0.033,17.230,0.006
6600.810,17.184,0.013,18.258,0.030,18.799,0.052,18.659,0.032,17.216,0.006
6622.805,17.175,0.013,18.289,0.029,18.886,0.052,18.659,0.031,17.208,0.006
6643.811,17.212,0.020,18.216,0.042,18.744,0.073,18.885,0.051,17.223,0.009
6650.805,17.202,0.017,18.261,0.037,18.855,0.067,18.769,0.042,17.232,0.007
6844.086,17.097,0.013,18.152,0.029,18.862,0.056,18.754,0.035,17.231,0.006
6851.041,17.174,0.032,18.191,0.069,18.909,0.131,18.667,0.077,17.210,0.014
6857.096,17.110,0.014,18.225,0.031,18.800,0.055,18.745,0.035,17.227,0.006
6864.018,17.139,0.014,18.192,0.030,18.884,0.057,18.741,0.035,17.214,0.006
6871.016,17.097,0.012,18.242,0.027,18.803,0.048,18.797,0.032,17.213,0.005
6878.120,17.117,0.021,18.209,0.047,18.804,0.084,18.799,0.055,17.217,0.010
6891.988,17.091,0.012,18.201,0.028,18.701,0.049,18.778,0.033,17.214,0.006
6898.970,17.083,0.015,18.196,0.035,18.772,0.062,18.770,0.041,17.219,0.007
6918.107,17.091,0.013,18.178,0.029,18.828,0.054,18.910,0.037,17.218,0.006
6923.898,17.064,0.012,18.209,0.028,18.756,0.049,18.861,0.033,17.229,0.006
6930.981,17.060,0.013,18.211,0.030,19.009,0.059,18.902,0.037,17.211,0.006
6938.893,17.106,0.027,18.238,0.062,18.747,0.108,18.791,0.072,17.250,0.013
6944.847,17.087,0.014,18.190,0.031,18.809,0.057,18.837,0.038,17.221,0.006
6959.961,17.043,0.017,18.112,0.037,18.772,0.069,18.854,0.047,17.225,0.008
6967.007,17.104,0.031,18.179,0.069,18.807,0.126,18.817,0.083,17.248,0.014
6972.817,17.038,0.014,18.138,0.032,18.889,0.063,18.922,0.042,17.241,0.007
6986.814,17.025,0.014,18.166,0.033,18.862,0.062,18.907,0.041,17.220,0.007
6993.811,17.078,0.021,18.201,0.047,18.794,0.085,18.869,0.058,17.239,0.010
7007.814,17.112,0.016,18.175,0.036,18.755,0.064,18.976,0.046,17.242,0.007
7015.807,17.072,0.016,18.166,0.037,18.903,0.071,18.925,0.047,17.214,0.008
7188.137,17.273,0.017,18.257,0.036,19.069,0.071,18.888,0.043,17.221,0.007
7202.073,17.272,0.014,18.240,0.030,18.896,0.056,19.051,0.039,17.209,0.006
7222.073,17.260,0.009,18.287,0.020,18.838,0.034,19.036,0.025,17.226,0.004
7229.202,17.264,0.009,18.254,0.019,18.874,0.035,19.124,0.026,17.222,0.004
7238.016,17.239,0.024,18.335,0.053,18.820,0.091,19.048,0.066,17.227,0.010
7250.028,17.248,0.009,18.266,0.019,18.811,0.034,19.188,0.026,17.226,0.004
7256.989,17.264,0.009,18.296,0.020,18.770,0.034,19.077,0.025,17.216,0.004
7265.898,17.299,0.019,18.310,0.041,18.864,0.072,19.099,0.053,17.252,0.008
7272.021,17.262,0.009,18.298,0.019,18.742,0.031,19.077,0.024,17.208,0.004
7278.922,17.244,0.009,18.287,0.019,18.748,0.032,19.206,0.026,17.209,0.004
7285.925,17.247,0.009,18.292,0.020,18.691,0.034,19.094,0.026,17.217,0.004
7293.887,17.242,0.018,18.263,0.039,18.784,0.067,19.140,0.052,17.206,0.008
7305.883,17.195,0.010,18.208,0.022,18.658,0.036,19.184,0.030,17.215,0.004
7321.881,17.201,0.016,18.240,0.036,18.668,0.060,19.124,0.048,17.210,0.007
7333.870,17.190,0.009,18.245,0.019,18.580,0.030,19.060,0.025,17.212,0.004
7368.811,17.198,0.009,18.261,0.020,18.583,0.031,19.081,0.026,17.224,0.004
7375.889,17.226,0.014,18.194,0.030,18.602,0.050,19.237,0.044,17.222,0.006
7579.132,16.946,0.008,18.205,0.020,19.444,0.049,19.170,0.028,17.211,0.004
7585.041,17.002,0.016,18.165,0.038,19.522,0.097,18.959,0.049,17.200,0.008
7593.048,17.025,0.025,18.171,0.058,19.451,0.142,18.869,0.072,17.238,0.012
7598.114,16.972,0.008,18.193,0.019,19.337,0.044,19.042,0.025,17.211,0.004
7606.013,17.053,0.016,18.191,0.036,19.630,0.097,18.905,0.045,17.235,0.007
7626.035,17.089,0.008,18.201,0.019,19.641,0.050,19.156,0.026,17.223,0.004
7634.925,17.090,0.009,18.208,0.020,19.502,0.050,19.085,0.027,17.216,0.004
7639.897,17.106,0.010,18.180,0.022,19.386,0.052,18.990,0.028,17.210,0.004
7648.899,17.210,0.021,18.161,0.044,19.728,0.125,18.733,0.052,17.247,0.009
7653.901,17.169,0.009,18.186,0.020,19.600,0.053,19.079,0.027,17.223,0.004
7661.894,17.188,0.010,18.167,0.021,19.641,0.055,19.103,0.028,17.206,0.004
7676.823,17.275,0.040,18.295,0.087,19.937,0.255,18.970,0.107,17.254,0.017
7681.835,17.240,0.010,18.242,0.022,19.562,0.055,19.133,0.030,17.213,0.004
7709.824,17.278,0.010,18.205,0.020,19.738,0.055,19.073,0.027,17.220,0.004
7722.801,17.278,0.012,18.184,0.024,20.007,0.077,19.179,0.034,17.225,0.005
7728.814,17.285,0.014,18.184,0.028,19.796,0.080,19.047,0.037,17.212,0.006
7735.805,17.306,0.016,18.196,0.033,19.732,0.092,19.021,0.044,17.214,0.007
