name,flag_imaging_tan23,flag_imaging_shajib20,perturber_flag,flag_sigma,z_lens,z_source,sigma_v,sigma_v_error,q,comment_imaging,IFU,n_bin_kcwi,psf_ifu_kcwi,flag_ifu_kcwi,comment_ifu_kcwi,n_bin_vimos,r_max_vimos,psf_ifu_vimos,fiber_scale_vimos,flag_ifu_vimos,ifu_file_name_vimos,comment_ifu_vimos,r_eff_auger,theta_E_auger,theta_E,theta_E_error,gamma,gamma_error_stat,gamma_error_sys,e1_mass,e1_mass_error,e2_mass,e2_mass_error,r_eff,r_eff_error,light_model,r_sersic_1,n_sersic_1,e1_sersic1,e2_sersic1,amp_sersic_1,r_sersic_2,n_sersic_2,e1_sersic2,e2_sersic2,amp_sersic_2,lensing_information_dinosi,lensing_information_dinosii,spectra_snr_flag,sigma_v_smk,sigma_v_error_smk,sdss_spectra_snr,sigma_v_kcwi_half_reff,sigma_v_kcwi_half_reff_error
SDSSJ0903+4116,1,1,0,0,0.43,1.065,270,21,-1.0,,0,,,,,,,,,,,,2.19,1.289,1.274553469078056,0.001524231682947,2.170819045781282,0.0128235975696104,0.0366983728637432,-0.1264849589124623,0.0052408038464343,0.0620803769180425,0.0040349178435844,2.982,0.07,double_sersic,1.0357083279432775,4.0,-0.0858314557300577,-0.0136563518155034,1.0494959466126137,6.039004263442059,1.0,-0.0858314557300577,-0.0136563518155034,0.0544648727336658,631.53093828557,184.6457658977354,0,313.8624832664654,36.52415773899986,5.618102550506592,,
SDSSJ0912+0029,1,0,1,1,0.164,0.324,301,8,-1.0,,1,,,,,3.0,3.0,0.8,0.67,1.0,J0912_kinmap.fits,,4.29,1.627,1.608539813734784,0.0017535399373322,1.5763970836560932,0.0071775414132855,0.062040687118318,-0.1224203239827317,0.0040010021326125,0.0628513313012457,0.0029187125065744,4.21,0.0055,single_sersic,4.210354499591507,4.0,-0.1868425021349169,0.0852086486894503,10.572976091956228,,,,,,629.4967139351975,189.48140018038745,0,290.1102394579287,13.24419460877016,13.062003135681152,,
SDSSJ0935-0003,0,0,0,1,0.347,0.467,308,20,-1.0,,1,,,,,3.0,3.0,0.8,0.67,1.0,J0935_kinmap.fits,,4.12,0.867,,,,,,,,,,,,,,,,,,,,,,,,,0,327.8054680145041,27.211923796470742,6.954713821411133,,
SDSSJ0936+0913,1,0,0,1,0.19,0.588,227,8,-1.0,,0,,,,,,,,,,,,2.5,1.089,1.0955039689114914,0.0029685740417694,2.210451477973113,0.0412908414300025,0.076162277497832,-0.0584993601124046,0.0154079394878386,-0.1381562981992048,0.0139030604937363,2.108,0.006,double_sersic,1.1627880971251685,4.0,-0.0412778898833639,-0.0981247521983012,3.996020022681632,3.9137714305217455,1.0,-0.0412778898833639,-0.0981247521983012,0.4029109873822722,489.8081445150366,118.74408128472132,0,255.6368161798296,11.716059477039057,12.245077133178713,,
SDSSJ0959+0410,1,1,1,1,0.126,0.535,192,8,-1.0,,1,,,,,3.0,3.0,0.8,0.67,-1.0,J0959_kinmap.fits,rotation,1.51,0.993,0.959698506764486,0.0019436903995824,2.2164734908964183,0.0244213262460472,0.084976627418557,0.1032839588949191,0.0064788448888275,0.1153405944559275,0.0082566693797648,0.968,0.001,double_sersic,0.4948306576521007,4.0,0.078018196379492,0.1457824518634537,69.53778380081802,1.2878248862728308,1.0,0.078018196379492,0.1457824518634537,25.19934618592647,2016.428308024065,464.1188418541952,0,191.1459711651381,12.336695380601483,11.200928688049316,,
SDSSJ0959+4416,0,0,1,1,0.237,0.531,241,13,-1.0,,0,,,,,,,,,,,,2.04,0.961,,,,,,,,,,,,,,,,,,,,,,,,,0,231.3953006938375,15.468667442527318,8.668368339538574,,
SDSSJ1016+3859,0,0,1,1,0.168,0.439,254,9,-1.0,,0,,,,,,,,,,,,1.65,1.09,,,,,,,,,,,,,,,,,,,,,,,,,0,238.19180486847927,11.967715578213497,12.109807014465332,,
SDSSJ1020+1122,0,0,1,1,0.282,0.553,281,13,-1.0,,0,,,,,,,,,,,,1.52,1.2,,,,,,,,,,,,,,,,,,,,,,,,,0,265.50596018377826,18.279611897974725,9.118082046508787,,
SDSSJ1023+4230,1,0,1,1,0.191,0.696,271,11,-1.0,,0,,,,,,,,,,,,2.07,1.414,1.400195512530979,0.0020339811312259,2.2222400465108616,0.053694145886188,0.1420024381443153,-0.0289459259757157,0.0041578270386722,-0.0390899840024317,0.0052209687605866,1.969,0.003,single_sersic,1.9697640796235023,4.0,-0.0738571761962626,-0.0402389364532088,1.887220020225277,,,,,,365.9665966517599,127.3282635280544,0,248.52564319256945,14.606234346544053,9.609790802001951,,
SDSSJ1100+5329,1,0,1,0,0.317,0.858,210,17,-1.0,,0,,,,,,,,,,,,2.96,1.518,1.4608970435088762,0.0030381294767496,1.8932477300211232,0.0305112984992017,0.1424021338876301,0.2232769042919483,0.0049092189107014,-0.0892951583418482,0.0037713212519731,2.261,0.006,single_sersic,2.259480236664549,4.0,0.2353992619034424,-0.1136894680712087,0.7854954706976651,,,,,,939.4581724459553,275.29760066556105,0,261.2697813181956,22.87391094735588,5.63631534576416,,
