Source,Data,L_col_bW,L_col_ZW
N1448,24.8192,0.272783,-0.12313
N1448,24.5915,0.446157,-0.17713
N1559,23.7041,0.695908,0.00430042
N1559,23.3972,0.719213,0.0285704
N1559,23.1625,0.673405,0.0336304
N1559,24.3987,0.327368,0.0273004
N1559,24.4765,0.329094,-0.0569296
N1559,26.0709,0.198279,-0.0284296
N1559,24.7977,0.272247,-0.00297958
N1559,23.0439,0.709202,0.0404004
N1559,24.5757,0.243699,-0.0195696
N1559,23.7319,0.567896,-0.0174596
N1559,24.1351,0.396452,0.00747042
N1559,23.6079,0.484939,0.00815042
N1559,23.9011,0.32188,0.0144704
N1559,23.4591,0.686879,-0.0158696
N1559,23.0022,0.921465,0.0150604
N1559,22.7115,0.884637,-0.00050958
N1559,22.437,0.91799,0.0125704
N1559,24.6563,0.278691,0.0202304
N1559,22.9361,0.531045,0.0157604
N1559,23.5832,0.58408,-0.00061958
N1559,23.6909,0.480428,-0.0153496
N1559,24.3566,0.410959,-0.0356796
N1559,24.3207,0.424103,-0.0167896
N1559,24.2825,0.54182,-0.0103396
N1559,25.5574,0.232275,-0.0303496
N1559,23.1043,0.771248,-0.0296696
N1559,23.2392,0.684766,-0.0316296
N1559,23.8522,0.523105,0.0117004
N1559,24.5131,0.305886,0.00689042
N1559,24.1509,0.433972,-0.0183896
N1559,24.2522,0.509822,0.00957042
N1559,25.3639,0.203614,-0.00679958
N1559,24.5597,0.540987,0.0300504
N1559,23.6663,0.553001,0.0354004
N1559,24.5613,0.486677,0.0309204
N1559,25.0794,0.201118,0.0253004
N1559,22.6959,0.698245,0.0317104
N1559,24.2788,0.410522,0.0282104
N1559,24.1254,0.450114,-0.0553796
N1559,25.2812,0.209313,-0.0335096
N1559,24.5837,0.184758,-0.0271196
N1559,23.9101,0.346962,-0.0278196
N1559,24.4796,0.489053,0.0242004
N1559,23.9346,0.348477,0.0294704
N1559,23.6507,0.585969,-0.0678496
N1559,25.0453,0.525097,-0.0284496
N1559,25.1121,0.214727,-0.00082958
N1559,23.3886,0.722929,0.0239204
N1559,24.484,0.215227,-0.00236958
N1559,23.6221,0.179384,-0.00294958
N1559,23.1312,0.766839,-0.0397596
N1559,24.2442,0.277825,0.0205904
N1559,24.7081,0.394364,-0.00490958
N1559,24.4684,0.272547,0.00146042
N1559,23.7327,0.617519,-0.00978958
N1559,24.9086,0.18906,0.00072042
N1559,22.5738,0.844363,0.00377042
N1559,23.1234,0.601895,0.00395042
N1559,24.4851,0.300162,-0.0160896
N1559,23.5153,0.378124,0.0215104
N1559,22.7653,0.877036,0.00294042
N1559,24.2921,0.372182,0.0186404
N1559,24.6227,0.309039,0.00153042
N1559,23.5246,0.56642,0.0171804
N1559,22.8122,0.899178,0.00405042
N1559,23.5244,0.459401,0.0315004
N1559,23.3228,0.571935,0.0139804
N1559,25.5608,0.192987,0.0141704
N1559,22.6373,0.815321,0.0146704
N1559,24.0325,0.559834,0.0169404
N1559,24.7421,0.466164,-0.0187496
N1559,22.4573,0.949586,-0.00585958
N1559,22.7838,0.827783,0.0118904
N1559,22.4961,0.727156,0.0258304
N1559,23.543,0.543803,0.0171404
N1559,22.3379,0.812566,0.0153804
N1559,24.1157,0.419272,0.0195504
N1559,24.0304,0.684579,0.0181304
N1559,24.299,0.344817,-0.00089958
N1559,23.5632,0.40113,0.00924042
N1559,23.8478,0.645564,-0.00414958
N1559,25.1137,0.252153,0.00713042
N1559,24.4411,0.188836,-0.0731696
N1559,25.4067,0.359538,0.0140804
N1559,24.4439,0.314313,-0.00535958
N1559,24.2577,0.196494,-0.0182796
N1559,25.1329,0.183739,0.00084042
N1559,24.9401,0.378541,-0.00811958
N1559,24.699,0.538467,0.0287404
N1559,22.4511,0.586205,-0.0170696
N1559,23.1849,0.84915,0.0284104
N1559,22.654,0.709371,0.0254604
N1559,24.2632,0.269326,0.0218204
N1559,24.5155,0.287277,0.0189604
N1559,23.457,0.570705,0.0277604
N1559,23.6495,0.444743,0.00985042
N1559,24.4183,0.509099,0.0138104
N1559,23.1641,0.553449,0.0179004
N1559,25.6874,0.239534,-0.00210958
N1559,24.2485,0.393474,0.0199804
N1559,23.1221,0.68134,-0.0271096
N1559,24.9272,0.401782,0.0129604
N1559,23.5825,0.584475,0.0165404
N1559,24.2961,0.550841,0.0113204
N1559,24.4157,0.558999,0.0126504
N1559,25.0017,0.31179,0.0133704
N1559,24.3237,0.525046,0.0121004
N1559,24.062,0.549587,0.0257904
N1559,25.2877,0.179699,0.00548042
N1559,23.4244,0.565362,0.0155104
N2442,23.837,0.56184,0.0534104
N2442,24.6384,0.299773,0.0284004
N2442,23.9296,0.457967,0.0664704
N2442,23.5755,0.559797,0.0574304
N2442,24.8064,0.470945,0.0649404
N2442,23.0454,0.833891,0.0619604
N2442,24.0707,0.471179,-0.0650096
N2442,23.3833,0.563367,0.0736904
N2442,24.2015,0.6029,0.0449304
N2442,24.7258,0.367595,0.0818404
N2442,23.5718,0.429502,0.0734904
N2442,23.7705,0.436312,0.0777104
N2442,24.5694,0.522163,0.0740804
N2442,24.5226,0.483206,0.0457204
N2442,24.3247,0.561211,0.0876204
N2442,25.0109,0.37079,0.0954704
N2442,23.2103,0.570966,0.0787304
N2442,23.429,0.505685,0.0858104
N2442,24.3581,0.35703,0.0321804
N2442,24.5823,0.301244,0.0731904
N2442,22.9492,0.852579,0.0451104
N2442,23.6347,0.492969,0.0613104
N2442,24.0858,0.307633,0.0658204
N2442,23.8949,0.43339,0.0437004
N2442,23.9663,0.386566,0.0316404
N2442,24.0064,0.536948,-0.0661896
N2442,23.1396,0.938657,-0.0641396
N2442,23.5722,0.435774,0.0423904
N2442,24.7098,0.426161,0.0697804
N2442,24.29,0.539488,-0.0681496
N2442,23.2227,0.555969,0.0666404
N2442,24.4465,0.359058,0.0737304
N2442,23.5241,0.748058,0.0635204
N2442,24.4235,0.345344,0.0405704
N2442,24.2117,0.531338,0.0414004
N2442,23.5717,0.658136,0.0395404
N2442,24.1183,0.500324,0.0426104
N2442,22.8394,0.67647,0.0266004
N2442,24.2748,0.593238,0.0373504
N2442,23.4321,0.595032,0.0252504
N2442,23.6147,0.535514,0.0354004
N2442,24.32,0.489216,0.0388804
N2442,23.8922,0.357239,0.0372604
N2442,23.4095,0.364375,-0.0610196
N2442,24.3543,0.362016,0.0355104
N2442,23.3446,0.516134,-0.0792696
N2442,23.436,0.696832,0.0664204
N2442,23.4763,0.591426,0.0529004
N2442,23.3424,0.616321,0.0381304
N2442,24.1565,0.395402,0.0634404
N2442,24.1424,0.310285,-0.0153596
N2442,22.9834,0.669106,0.0259604
N2442,24.0124,0.544439,-0.0131996
N2442,23.935,0.547121,0.0595204
N2442,23.6041,0.658307,-0.0869196
N2442,23.9739,0.662896,-0.10617
N2442,24.4982,0.440596,0.0557704
N2442,23.3407,0.712888,0.0533904
N2442,24.4846,0.362016,0.0551704
N2442,23.8701,0.44976,-0.0894996
N2442,24.2827,0.361076,0.0284604
N2442,24.0272,0.398866,-0.0243996
N2442,23.637,0.430048,-0.0383296
N2442,24.6518,0.406916,0.0122904
N2442,23.7286,0.630607,-0.00386958
N2442,24.6185,0.406933,-0.0186096
N2442,24.3751,0.40172,-0.0291296
N2442,23.6669,0.732832,0.0474404
N2442,24.05,0.564039,-0.0447896
N2442,23.7006,0.480127,0.0363604
N2442,24.1867,0.414221,-0.10578
N2442,23.8752,0.649349,-0.11235
N2442,25.2241,0.398573,-0.0332096
N2442,22.3126,0.824774,0.0408604
N2442,23.5679,0.378903,-0.0528496
N2442,23.4349,0.482367,-0.0206196
N2442,23.909,0.401309,0.0397104
N2442,25.1883,0.318437,-0.0455996
N2442,23.9058,0.605169,-0.0154196
N2442,24.9943,0.323515,-0.0753396
N2442,23.5412,0.428375,-0.0650696
N2442,23.6508,0.533457,-0.0661596
N2442,24.2592,0.450526,-0.0183096
N2442,23.6158,0.462118,-0.0928796
N2442,23.6372,0.573338,-0.0216996
N2442,23.7527,0.422615,-0.0158196
N2442,23.3024,0.622694,-0.0404496
N2442,23.6344,0.643721,-0.0279396
N2442,23.6345,0.489482,-0.0579496
N2442,23.1304,0.536118,-0.0694496
N2442,23.5171,0.653227,-0.0710896
N2442,22.6951,0.860576,-0.11262
N2442,24.0982,0.556101,-0.0559496
N2442,23.6231,0.778358,-0.0644896
N2442,23.5417,0.559654,-0.0558396
N2442,23.6194,0.457666,-0.0840996
N2442,23.5466,0.566286,-0.0579596
