ID,Survey,RAJ2000,DEJ2000,P,nJ,nH,Jmag,e_Jmag,Hmag,e_Hmag,Type,Flag,FlagJ,FlagH,E(B-V),Jmagc,Hmagc,Catalog
2054523,K18a,11.41547,41.910521,11.16538,1,1,19.226,0.036,18.695,0.041,FM,0,0,0,0.28573,19.053,18.595,C
891135,K18a,11.04628,41.654683,11.186809,1,1,19.281,0.036,18.761,0.041,FM,0,0,0,0.26317,19.118,18.667,C
2122171,K18a,11.673327,42.068557,11.731285,1,1,19.192,0.036,18.759,0.041,FM,0,0,1,0.27847,19.022,18.66,C
926579,K18a,11.065898,41.801447,11.304513,1,1,19.282,0.036,18.793,0.041,FM,0,0,0,0.23311,19.132,18.706,C
853603,K18a,11.421034,41.747289,11.635533,1,1,19.313,0.036,18.722,0.041,FM,0,0,0,0.24531,19.158,18.632,C
2175375,K18a,11.092632,41.839899,11.627715,1,1,19.171,0.036,18.581,0.041,FM,0,0,0,0.30591,18.989,18.475,C
2191025,K18a,11.153989,41.876479,11.510893,1,1,19.375,0.036,18.813,0.041,FM,0,0,0,0.24817,19.218,18.722,C
102825,K18a,10.992745,41.29559,11.638402,1,1,19.404,0.036,18.915,0.041,FM,0,0,0,0.26286,19.242,18.82,C
2145169,K18a,11.642835,42.132466,11.729536,1,1,19.212,0.036,18.649,0.041,FM,0,0,0,0.24982,19.055,18.557,C
524192,K18a,10.762049,41.227499,11.289157,1,1,19.096,0.036,18.491,0.041,FM,0,1,0,0.16045,18.978,18.423,C
2175733,K18a,11.073809,41.840725,12.044287,1,1,19.342,0.036,18.68,0.041,FM,0,0,0,0.2605,19.181,18.586,C
171212,K18a,10.933623,41.184969,12.319198,1,1,19.257,0.036,18.613,0.041,FM,0,0,0,0.26562,19.093,18.518,C
892320,K18a,11.039286,41.659139,12.314511,2,2,18.936,0.036,18.553,0.041,FM,0,0,0,0.22644,18.79,18.468,C
977068,K18a,11.12906,41.613345,12.351117,1,1,18.957,0.036,18.35,0.041,FM,0,0,0,0.24299,18.803,18.261,C
186263,K18a,10.963327,41.240048,11.787453,1,1,19.531,0.036,18.961,0.041,FM,0,0,0,0.24683,19.375,18.87,C
979093,K18a,10.965037,41.620457,12.507396,1,1,19.226,0.036,18.722,0.041,FM,0,0,0,0.2162,19.084,18.639,C
988506,K18a,11.326202,41.650591,12.559206,1,1,19.525,0.036,18.858,0.041,FM,0,0,0,0.31351,19.34,18.751,C
125990,K18a,11.091661,41.39663,12.573586,1,1,19.278,0.036,18.735,0.041,FM,0,0,0,0.23228,19.128,18.649,C
969824,K18a,11.096255,41.588308,12.858311,1,1,19.092,0.036,18.658,0.041,FM,0,0,0,0.21044,18.952,18.577,C
228980,K18a,11.131737,41.41358,12.778392,1,1,19.217,0.036,18.844,0.041,FM,0,0,0,0.2423,19.063,18.755,C
1020358,K18a,11.308568,41.764557,12.749586,1,1,19.093,0.036,18.659,0.041,FM,0,0,0,0.2261,18.946,18.574,C
2026949,K18a,11.52915,41.841385,12.85619,1,1,19.321,0.036,18.91,0.041,FM,0,0,0,0.20861,19.182,18.829,C
957242,K18a,11.107819,41.545682,12.899186,1,1,18.797,0.036,18.377,0.041,FM,0,0,0,0.21047,18.657,18.296,C
2171118,K18a,11.303309,41.82978,12.859153,1,1,19.285,0.036,18.801,0.041,FM,0,0,0,0.24199,19.131,18.711,C
2018833,K18a,11.407778,41.808947,12.990949,1,1,19.333,0.036,18.732,0.041,FM,0,0,0,0.33263,19.14,18.62,C
2051381,K18a,11.343563,41.903444,13.032764,1,1,18.906,0.036,18.353,0.041,FM,0,0,0,0.27806,18.736,18.254,C
120376,K18a,11.091029,41.372335,13.155997,2,2,19.096,0.036,18.569,0.041,FM,0,0,0,0.26492,18.932,18.473,C
1084015,K18a,11.131443,41.632112,13.267886,2,2,19.275,0.036,18.71,0.041,FM,0,0,0,0.22787,19.128,18.625,C
122509,K18a,10.938983,41.381488,13.566248,1,1,19.04,0.036,18.359,0.041,FM,0,0,0,0.22771,18.892,18.273,C
183956,K18a,11.016791,41.231579,13.527324,2,2,19.222,0.036,18.61,0.041,FM,0,0,0,0.22932,19.074,18.524,C
108718,K18a,11.090793,41.322043,13.666014,1,1,19.023,0.036,18.495,0.041,FM,0,0,0,0.28537,18.851,18.395,C
2023616,K18a,11.411349,41.831595,13.584884,1,1,19.233,0.036,18.674,0.041,FM,0,0,0,0.28882,19.059,18.573,C
2175901,K18a,11.097561,41.841,13.648454,1,1,19.355,0.036,18.887,0.041,FM,0,0,0,0.31474,19.169,18.779,C
2205808,K18a,11.143282,41.911796,13.567111,1,1,18.689,0.036,18.245,0.041,FM,0,0,0,0.27649,18.52,18.147,C
893045,K18a,11.038673,41.662034,13.361203,1,1,19.159,0.036,18.768,0.041,FM,0,0,0,0.2444,19.005,18.678,C
2193399,K18a,11.163232,41.88199,13.842389,1,1,19.237,0.036,18.677,0.041,FM,0,0,0,0.27847,19.067,18.579,C
514496,K18a,10.859144,41.200508,13.77289,1,1,19.124,0.036,18.56,0.041,FM,0,0,0,0.21883,18.981,18.477,C
992980,K18a,11.330914,41.666154,14.123626,1,1,18.816,0.036,18.366,0.041,FM,0,0,0,0.26303,18.654,18.272,C
167606,K18a,10.928778,41.171522,14.422223,1,1,19.104,0.036,18.439,0.041,FM,0,0,0,0.26396,18.941,18.344,C
1046525,K18a,11.202869,41.487655,14.123791,1,1,18.788,0.036,18.335,0.041,FM,0,0,0,0.23513,18.637,18.247,C
1066426,K18a,11.258522,41.565751,14.592085,1,1,19.114,0.036,18.471,0.041,FM,0,0,0,0.25719,18.954,18.378,C
2501659,K18a,11.594763,42.331198,14.903057,1,1,18.896,0.036,18.363,0.041,FM,0,0,0,0.14695,18.785,18.298,C
2185518,K18a,11.098339,41.863489,14.677036,1,1,19.036,0.036,18.479,0.041,FM,0,0,0,0.34005,18.839,18.365,C
976119,K18a,10.912063,41.61012,14.611439,1,1,18.869,0.036,18.314,0.041,FM,0,0,0,0.16307,18.75,18.245,C
