PGC,Nest,Nmb,logpK,Mvir,Mlum
3077587,204748,1,10.48,,53.3
3077601,207972,1,10.05,,7.12
3077667,200214,7,10.68,1700.0,480.0
3077682,200002,167,11.09,1820.0,1270.0
3077703,200288,6,10.96,2490.0,6650.0
3077741,200002,167,11.34,1820.0,1270.0
3077745,200288,6,10.96,2490.0,6650.0
3077751,200002,167,11.34,1820.0,1270.0
3077780,200214,7,10.73,1700.0,480.0
3077784,201058,3,9.97,,21.1
3077830,200002,167,11.37,1820.0,1270.0
3077913,204885,1,10.05,,46.7
3077921,200002,167,11.37,1820.0,1270.0
3077959,201734,2,10.57,,77.2
3077973,200002,167,11.37,1820.0,1270.0
3077996,200002,167,11.37,1820.0,1270.0
3078012,200002,167,11.37,1820.0,1270.0
3078020,206400,1,9.75,,16.2
3078049,200002,167,11.37,1820.0,1270.0
3078051,200002,167,11.29,1820.0,1270.0
3078080,204225,1,10.55,,101.0
3078098,200002,167,11.37,1820.0,1270.0
3078106,200002,167,11.37,1820.0,1270.0
3078134,200002,167,11.37,1820.0,1270.0
3078136,200002,167,11.37,1820.0,1270.0
3078432,211121,1,10.01,,1.27
3078477,210926,1,10.52,,1.49
3078528,200002,167,10.97,1820.0,1270.0
3078716,201899,2,10.38,,388.0
3078889,200393,5,10.61,650.0,519.0
3079523,111309,1,9.29,,1.86
3079545,100884,3,10.23,,56.0
3079674,102055,2,10.21,,42.2
3079804,204593,1,10.1,,64.1
3079813,201469,2,10.61,,443.0
3079815,201469,2,10.61,,443.0
3079855,201018,3,9.8,,7.92
3079912,200002,167,11.3,1820.0,1270.0
3079933,204312,1,10.11,,88.1
3079935,200002,167,11.34,1820.0,1270.0
3080012,200002,167,11.37,1820.0,1270.0
3080163,100724,4,10.04,,18.1
3080182,202547,2,9.97,,29.7
3080364,201321,3,10.64,,3650.0
3080365,200615,4,10.58,,399.0
3080393,200685,4,10.15,,34.0
3080405,209957,1,10.35,,2.74
3080428,200329,6,10.44,47.4,60.8
3080448,209057,1,9.4,,4.42
3080473,200349,6,10.51,50.0,158.0
3080520,201175,3,10.35,,77.2
3080521,200328,6,10.43,140.0,206.0
3080525,202216,2,10.0,,35.8
3080545,201081,3,10.38,,69.4
3080566,208466,1,9.82,,5.76
3080581,205735,1,9.79,,23.4
3080585,200188,8,10.6,39.9,112.0
3080605,205482,1,9.87,,28.2
3080622,203331,1,10.15,,695.0
3080636,203455,1,10.1,,443.0
3080642,200793,4,10.56,,124.0
3080649,200023,30,10.73,170.0,109.0
3080661,200007,54,10.97,686.0,1300.0
3080665,200007,54,10.94,686.0,1300.0
3080669,202203,2,10.14,,57.7
3080671,208282,1,9.98,,6.24
3080688,200027,25,10.97,1050.0,837.0
3080692,201126,3,10.06,,16.2
3080695,200061,15,10.59,24.6,54.7
3080708,200302,6,10.41,281.0,162.0
3080714,200086,12,10.85,206.0,268.0
3080741,203073,1,10.33,,2470.0
3080764,200411,5,10.46,300.0,146.0
3080765,207129,1,9.66,,10.9
3080773,201256,3,10.39,,1.45
3080786,211669,1,9.78,,0.73
3080790,205977,1,10.14,,20.5
3080792,200994,3,10.55,,695.0
3080794,201030,3,9.81,,13.4
3080810,204097,1,10.27,,121.0
3080825,200310,6,10.46,207.0,118.0
3080826,200310,6,10.49,207.0,118.0
3080830,207781,1,9.61,,7.92
3080849,201248,3,9.87,,8.57
3080851,201491,2,10.01,,25.4
3080866,207798,1,9.49,,7.92
3080884,200583,4,10.66,,981.0
3080885,209464,1,9.4,,3.58
3080889,204804,1,9.89,,50.5
3080894,200614,4,10.63,,677.0
3080895,203254,1,10.23,,955.0
3080896,206933,1,9.8,,12.1
3080931,204237,1,10.04,,97.9
3080939,209731,1,9.3,,3.05
3080946,201067,3,10.1,,19.5
3080948,201117,5,10.3,31.6,60.8
3080952,203704,1,10.22,,247.0
3080966,201044,3,10.26,,83.6
3080977,208849,1,9.99,,4.79
3080979,200449,5,10.45,32.8,124.0
3080987,204387,1,9.91,,79.2
3080991,209116,1,9.39,,4.3
3080992,202870,2,10.02,,26.8
3081017,206729,1,9.6,,13.4
3081038,202099,2,9.94,,7.51
3081041,210528,1,9.66,,1.89
3081080,205957,1,10.07,,20.5
3081086,203256,1,10.21,,930.0
3081093,208254,1,10.1,,6.24
3081111,209838,1,9.59,,2.89
3081116,202485,2,9.75,,5.61
3081118,205677,1,9.71,,24.7
3081137,200890,3,10.22,,60.8
3081143,202133,2,10.17,,79.2
3081156,202134,3,10.39,,146.0
3081157,208583,1,9.4,,5.46
3081194,211281,1,9.02,,1.15
3081205,208971,1,9.54,,4.54
3081227,205924,1,9.88,,21.1
3081247,206761,1,9.94,,13.1
3081249,201555,2,10.17,,138.0
3081260,210273,1,9.92,,2.28
3081265,200026,26,11.0,6830.0,7400.0
3081267,201323,3,10.03,,13.1
3081273,200026,26,11.19,6830.0,7400.0
3081283,205332,1,10.09,,31.4
3081285,200634,4,10.11,,31.4
3081312,202383,2,10.23,,340.0
3081326,201450,2,10.23,,138.0
3081329,205830,1,9.78,,22.2
3081331,201409,2,10.26,,358.0
3081354,202619,2,10.1,,42.0
3081365,200051,16,10.92,703.0,1300.0
3081378,202690,2,10.48,,20.0
3081387,200029,23,11.01,552.0,493.0
3081388,200029,23,11.01,552.0,493.0
3081391,203051,1,10.34,,2770.0
3081418,200679,4,10.17,,24.7
3081425,210464,1,9.83,,2.0
3081431,110121,1,9.39,,3.54
3081438,202365,2,10.25,,73.2
3081448,101560,2,10.27,,198.0
3081480,105016,1,9.98,,58.8
3081500,109258,1,9.51,,5.31
3081510,105983,1,10.14,,26.1
3081513,105558,1,9.82,,37.7
3081517,103588,1,10.27,,890.0
3081519,102819,2,10.18,,44.8
3081529,109465,1,9.48,,4.86
3081556,101635,2,10.5,,647.0
3081576,102223,2,9.8,,22.1
3081596,111753,1,9.04,,1.34
3081598,105977,1,9.85,,27.2
3081599,104063,1,10.18,,249.0
3081621,105070,1,10.06,,55.4
3081638,105841,1,10.25,,31.9
3081658,100102,11,10.53,56.7,72.9
3081659,100681,4,10.44,,92.7
3081675,100121,10,10.39,46.5,38.1
3081678,100177,8,10.9,343.0,1510.0
3081692,111872,1,9.03,,1.21
3081704,105420,1,9.85,,43.5
3081708,100393,5,10.36,114.0,97.1
3081717,101431,2,10.42,,786.0
3081728,108425,1,9.63,,7.83
3081733,107283,1,9.93,,12.6
3081738,109102,1,9.42,,5.86
3081757,100006,85,11.05,439.0,305.0
3081765,112549,1,9.59,,0.52
3081766,100330,6,10.53,33.5,17.9
3081779,104853,1,10.1,,75.3
3081781,112552,1,9.87,,0.516
3081786,109745,1,9.68,,4.39
3081793,108011,1,9.6,,9.24
3081821,100300,10,10.69,484.0,535.0
3081828,103875,1,10.06,,371.0
3081847,102154,2,9.95,,34.2
3081861,102051,2,9.95,,3.78
3081864,103102,2,9.61,,5.66
3081865,103613,1,10.2,,850.0
3081874,102809,2,10.27,,153.0
3081899,111001,1,9.66,,2.33
3081913,105936,1,9.84,,27.9
3081929,102462,2,10.21,,57.2
3081950,100481,5,10.39,9.99,48.6
3081951,100481,5,10.39,9.99,48.6
3081961,110238,1,9.32,,3.46
3082003,105734,1,9.73,,33.8
3082016,102613,2,10.16,,17.9
3082041,107164,1,9.78,,13.5
3082043,104929,1,10.01,,69.6
3082044,102300,2,9.96,,36.4
3082071,109085,1,9.84,,5.86
3082073,110309,1,9.59,,3.32
3082081,100650,4,10.57,,413.0
3082082,110448,1,9.27,,3.05
3082101,101725,2,10.23,,96.4
3082106,100840,3,10.43,,314.0
3082117,103937,1,10.14,,313.0
3082118,100251,7,10.37,53.2,55.9
3082119,100175,8,10.51,271.0,195.0
3082126,101007,3,10.55,,480.0
3082131,101682,2,10.38,,177.0
3082150,101262,3,10.22,,50.2
3082152,112122,1,9.5,,0.915
3082162,101013,3,10.25,,56.2
3082166,101013,3,10.25,,56.2
3082185,105139,1,10.07,,55.4
3082200,111060,1,9.58,,2.18
3082214,110314,1,9.73,,3.29
3082221,106925,1,9.85,,15.4
3082224,103750,1,10.12,,484.0
3082232,100113,10,10.93,370.0,1240.0
3082233,100113,10,10.93,370.0,1240.0
3082245,100113,10,10.83,370.0,1240.0
3082268,100010,55,11.0,3710.0,10400.0
3082288,108309,1,9.69,,8.1
3082292,105076,1,9.84,,58.3
3082293,101523,2,10.47,,504.0
3082312,100581,4,10.58,,144.0
3082323,111168,1,9.71,,2.07
3082337,105092,1,9.82,,58.2
3082340,105993,1,10.47,,26.8
3082366,104594,1,9.87,,102.0
3082370,100024,24,10.91,876.0,1420.0
3082373,100099,11,10.47,95.6,57.3
3082402,103197,1,10.33,,5810.0
3082407,100473,5,10.46,7.85,137.0
3082408,100043,18,10.74,224.0,153.0
3082435,111759,1,8.98,,1.31
3082475,101319,3,10.06,,25.4
3082492,103262,1,10.41,,3540.0
3082515,104234,1,10.02,,168.0
3082525,103605,1,10.14,,782.0
3082541,103190,1,10.42,,6160.0
3082551,106710,1,9.97,,16.5
3082562,101926,2,9.96,,37.0
3082563,104276,1,10.26,,161.0
3082564,102856,2,9.92,,8.34
3082566,101093,3,10.08,,12.1
3082572,106502,1,9.69,,18.9
3082579,111526,1,9.61,,1.57
3082580,100625,4,10.4,,46.1
3082584,103037,2,10.05,,6.98
3082590,103403,1,10.27,,1720.0
3082593,100095,11,11.08,1030.0,4980.0
3082594,101925,2,9.99,,55.4
3082611,104937,1,9.93,,62.6
3082649,101700,2,10.1,,23.4
3082652,103760,1,10.41,,400.0
3082657,112205,1,9.5,,0.82
3082662,100103,11,10.64,108.0,125.0
3082665,105653,1,9.71,,31.5
3082666,108786,1,10.48,,5.99
3082668,100103,11,10.64,108.0,125.0
3082671,100103,11,10.64,108.0,125.0
3082672,100103,11,10.64,108.0,125.0
3082674,106133,1,9.78,,22.6
3082676,100655,4,10.3,,49.5
3082677,101726,2,10.02,,15.7
3082678,101726,2,10.02,,15.7
3082680,101466,2,10.47,,1640.0
3082683,101214,3,10.12,,22.6
3082685,101153,3,10.13,,26.6
3082686,101153,3,10.13,,26.6
3082692,100396,5,10.49,55.0,78.5
3082696,103245,1,10.38,,3680.0
3082701,100028,23,10.87,403.0,344.0
3082702,100028,23,10.87,403.0,344.0
3082706,200290,6,10.47,1450.0,677.0
3082714,211517,1,9.82,,0.879
3082718,211954,1,9.29,,0.43
3082731,200863,3,10.55,,955.0
3082775,201271,5,10.41,14.8,190.0
3082778,200913,3,9.86,,13.1
3082783,200656,4,10.57,,171.0
3082802,201279,3,10.09,,7.71
3082808,210064,1,9.29,,2.53
3082809,206108,1,9.85,,19.0
3082827,200693,4,9.91,,13.1
3082863,205867,1,9.83,,21.7
3082882,206912,1,9.69,,12.1
3082885,211350,1,9.36,,1.06
