source_id,normalized_name,ra,dec,pgc,host_logmass,z_hd,z_hd_err,z_cmb,z_cmb_err,z_hel,z_hel_err,vpec,vpecerr,pantheon_id,separation_arcsec,sigma_measured,sigma_inferred,r25_arcsec,r_eff_arcsec,sigma_corrected,sigma_delta
N3254,NGC 3254,157.33300833333334,29.491438888888887,30895,10.63,0.00648,0.00084,0.0055,0.0,0.00452,0.0,-289.936,250.0,2019np,74.5115135659872,117.8000030517578,109.46339140154012,150.35618591308594,75.17809295654297,109.46339140154012,-8.336611650217677
N3370,NGC 3370,161.76697273869,17.27369871105,32207,10.196,0.00588,0.00084,0.0054,1e-05,0.00427,1e-05,-144.588,250.0,1994ae,31.314751246021032,94.5999984741211,89.53951311106145,94.86833190917967,47.43416595458984,89.53951311106145,-5.060485363059641
N3447,NGC 3447,163.34986296531,16.77242823926,32694,9.53,0.00465,0.00084,0.00465,2e-05,0.00352,2e-05,-0.2973,250.0,2012ht,22.03175875380119,67.77873663823307,63.74073505607704,111.46057891845705,55.73028945922851,63.74073505607704,-4.038001582156028
N3583,NGC 3583,168.5457458333333,48.318377777777776,34232,10.95,0.00857,0.00084,0.00773,1e-05,0.00702,1e-05,-249.339,250.0,ASASSN-15so,1.3098966680831907,131.6999969482422,125.23028306008827,84.55149841308594,42.27574920654297,125.23028306008827,-6.469713888153919
N3972,NGC 3972,178.93787699999996,55.320735,37466,10.417,0.00349,0.00084,0.00369,2e-05,0.00313,2e-05,61.7743,250.0,2011by,18.04572886564375,28.24645,26.514746024976656,116.71355438232422,58.35677719116211,26.514746024976656,-1.7317039750233434
N3982,NGC 3982,179.11726896503,55.12523877407,37520,10.199,0.00349,0.00084,0.00369,1e-05,0.00313,1e-05,61.7743,250.0,1998aq,22.78719524707538,73.0,69.92725159818109,70.32686614990234,35.16343307495117,69.92725159818109,-3.072748401818913
N4038,NGC 4038,180.47084166666667,-18.86758888888889,37967,10.682,0.00571,0.00084,0.0066,2e-05,0.00542,2e-05,265.999,250.0,2007sr,378.7708452742237,107.39049067798273,99.6068999195483,157.4422607421875,78.72113037109375,99.6068999195483,-7.783590758434428
N4258,NGC 4258,184.7400833333333,47.30371944444444,39600,9.2773,0.27995,0.00146,0.27987,0.001,0.279,0.001,-18.8469,250.0,040201,855.3079521736327,148.0,130.49242929581516,558.6260986328125,279.31304931640625,130.49242929581516,-17.507570704184843
N4424,NGC 4424,186.79822551483997,9.420647348250002,40809,9.633,0.00256,0.00084,0.00256,2e-05,0.00144,2e-05,0.0,250.0,2012cg,17.00238784698351,56.79999923706055,53.46529061846042,108.92340087890624,54.461700439453125,53.46529061846042,-3.334708618600125
N4536,NGC 4536,188.6130369583333,2.1878799999999994,41823,9.686,0.00317,0.00084,0.0035,1e-05,0.00236,1e-05,97.8762,250.0,1981B,55.9105778163047,85.0,77.68595790747032,227.57327270507812,113.78663635253906,77.68595790747032,-7.314042092529675
N4639,NGC 4639,190.71824375014,13.257418376,42741,9.802,0.00359,0.00084,0.00462,2e-05,0.00355,2e-05,308.577,250.0,1990N,62.30683330267207,96.0,91.36814985353718,82.62686920166016,41.31343460083008,91.36814985353718,-4.631850146462824
N4680,NGC 4680,191.7281208333333,-11.637038888888888,43118,9.75,0.00864,0.00085,0.00931,0.00015,0.00817,0.00015,201.132,250.0,1997bp,24.446560387977243,102.67397940972218,100.2729969909081,43.363189697265625,21.681594848632812,100.2729969909081,-2.400982418814081
N5468,NGC 5468,211.6453774379183,-5.4529774527145,50323,10.441,0.00954,0.00086,0.00998,0.00019,0.00907,0.00019,129.581,250.0,1999cp,59.292776401821115,67.6076848302315,64.46435840244573,78.90803527832031,39.45401763916016,64.46435840244573,-3.14332642778578
N5584,NGC 5584,215.5992125,-0.3874499999999999,51344,10.331,0.00625,0.00084,0.00635,1e-05,0.00552,1e-05,31.5763,250.0,2007af,46.38789811558817,54.18593,51.14581831770774,101.65324401855467,50.826622009277344,51.14581831770774,-3.040111682292256
N5643,NGC 5643,218.16990833333332,-44.174611111111105,51969,10.449,0.00331,0.00085,0.00478,0.00015,0.00411,0.00015,440.866,250.0,2017cbv,161.55395757688157,68.0,63.42091640580657,137.12644958496094,68.56322479248047,63.42091640580657,-4.579083594193428
N5728,NGC 5728,220.59954937774,-17.25312243994,52521,10.636,0.00996,0.00086,0.0105,0.00015,0.00974,0.00015,161.695,250.0,2009Y,22.839020246793933,176.0,166.738644821125,92.7088623046875,46.35443115234375,166.738644821125,-9.261355178874993
N5861,NGC 5861,227.31704695833332,-11.321661111111112,54097,10.591,0.00677,0.00085,0.00727,0.00015,0.00662,0.00015,147.138,250.0,2017erp,48.52831499170101,112.15979439887336,106.35570801387213,90.59855651855467,45.299278259277344,106.35570801387213,-5.804086385001227
N5917,NGC 5917,230.3856254335,-7.377089110400001,54809,9.184,0.0071,0.00084,0.00703,6e-05,0.00644,6e-05,-21.2471,250.0,2005cf,130.12865238403774,54.47058823529411,53.09891753205199,45.406829833984375,22.703414916992188,53.09891753205199,-1.371670703242117
N7250,NGC 7250,334.5740666666667,40.56240555555555,68535,9.131,0.00432,0.00084,0.00293,0.00012,0.00394,0.00012,-413.1,250.0,2013dy,24.99083467580744,41.8235294117647,40.5456510711402,52.13402557373047,26.06701278686523,40.5456510711402,-1.277878340624504
N7329,NGC 7329,340.10094603963,-66.47895444826,69453,10.501,0.01028,0.00086,0.01042,0.00015,0.01077,0.00015,40.4087,250.0,2006bh,53.54862058969878,123.70785110805046,116.1236988515578,116.71355438232422,58.35677719116211,116.1236988515578,-7.584152256492658
