beta,re_scale,n,r,p,slope,delta_h0,median_sigma,sigma_ref,alpha_opt,unified_h0,post_slope,post_r
0.01,0.9,29,0.43097419159859546,0.01959313419164002,0.07451476728727942,4.628158226115971,93.40703876311399,75.25,0.5758593749999994,68.36288376366895,-2.5803928008275914e-05,-0.0001658101237777722
0.01,0.95,29,0.4309741915985955,0.019593134191639956,0.07455506624466904,4.628158226115971,93.35654982299734,75.25,0.5758593749999994,68.36714086887919,-2.581949098408246e-05,-0.00016581012378356184
0.01,1.0,29,0.4309741915985955,0.019593134191639956,0.07459331780368252,4.628158226115971,93.30867645203075,75.25,0.5758593749999994,68.3711798077156,-2.583426417403754e-05,-0.00016581012378096466
0.01,1.05,29,0.4309741915985954,0.01959313419164002,0.07462972088573798,4.628158226115971,93.26316209977195,75.25,0.5758593749999994,68.37502186638937,-2.584832427165896e-05,-0.0001658101237811947
0.01,1.1,29,0.43097419159859546,0.01959313419164002,0.07466444672016784,4.628158226115971,93.21978615221259,75.25,0.5758593749999994,68.37868535969113,-2.5861737295659562e-05,-0.00016581012377822266
0.01,1.15,29,0.4309741915985955,0.019593134191639956,0.07469764376053696,4.628158226115971,93.17835752276335,75.25,0.5758593749999994,68.38218615958507,-2.587456048743625e-05,-0.0001658101237823946
0.01,1.2,29,0.4309741915985955,0.019593134191639956,0.07472944155573087,4.628158226115971,93.13870961067761,75.25,0.5758593749999994,68.38553811124432,-2.5886843801241562e-05,-0.00016581012377975138
0.01,1.25,29,0.4309741915985955,0.019593134191639956,0.07475995383170386,4.628158226115971,93.1006962911696,75.25,0.5758593749999994,68.38875336411938,-2.589863109186559e-05,-0.00016581012378310452
0.01,1.3,29,0.43097419159859546,0.01959313419164002,0.07478928096953008,4.628158226115971,93.06418869387151,75.25,0.5758593749999994,68.39184263804938,-2.590996106998302e-05,-0.0001658101237800087
0.02,0.7,29,0.43002241207282477,0.019894726129915233,0.07503276221937634,4.628158226115971,92.69386011086532,75.25,0.5769531249999995,68.41140940362126,3.1098983272350564e-05,0.00019782622832447905
0.02,0.75,29,0.4300224120728249,0.019894726129915233,0.07513636819809956,4.628158226115971,92.566044003583,75.25,0.5769531249999995,68.42230291408788,3.114688394893463e-05,0.00019782622832432823
0.02,0.8,29,0.4300224120728248,0.019894726129915233,0.07523341461869336,4.628158226115971,92.44663957026569,75.25,0.5769531249999995,68.43249468284057,3.119175882551951e-05,0.00019782622832510366
0.02,0.85,29,0.4300224120728249,0.019894726129915233,0.07532468988898275,4.628158226115971,92.3346166462209,75.25,0.5769531249999995,68.44206976077676,3.123397118245657e-05,0.00019782622832939252
0.02,0.9,29,0.4300224120728249,0.019894726129915233,0.07541084792210578,4.628158226115971,92.22912295163162,75.25,0.5769531249999995,68.45109861141835,3.1273822369632085e-05,0.00019782622832624413
0.02,0.95,29,0.4300224120728247,0.01989472612991525,0.07549243712718742,4.628158226115971,92.12944540625963,75.25,0.5769531249999995,68.45964026766192,3.131156515371467e-05,0.00019782622832481488
0.02,1.0,29,0.43002241207282477,0.019894726129915233,0.07556992198095798,4.628158226115971,92.03498141293862,75.25,0.5769531249999995,68.46774467819564,3.1347413642311094e-05,0.00019782622832669854
0.02,1.05,29,0.4300224120728249,0.019894726129915233,0.07564369934919742,4.628158226115971,91.94521717912905,75.25,0.5769531249999995,68.47545448106754,3.1381550799022186e-05,0.00019782622832667559
