parameter,value,error,source_id,normalized_name,ra,dec,pgc,host_logmass,z_hd,z_hd_err,z_cmb,z_cmb_err,z_hel,z_hel_err,vpec,vpecerr,pantheon_id,separation_arcsec,sigma_measured,sigma_inferred,r25_arcsec,r_eff_arcsec,sigma_corrected,sigma_delta,velocity,distance_mpc,h0_derived,rho_local,pgc_int,tully_nest,tully_nmb,tully_logpK,tully_mvir_tmsun,tully_mlum_tmsun,tully_is_group,tully_is_cluster,mu_corrected,dist_corrected,h0_corrected
mu_N4680,32.54680993735704,0.147044258516336,N4680,NGC 4680,191.7281208333333,-11.637038888888888,43118,9.75,0.00864,0.00085,0.00931,0.00015,0.00817,0.00015,201.132,250.0,1997bp,24.446560387977243,102.67397940972218,100.2729969909081,43.363189697265625,21.681594848632812,100.2729969909081,-2.400982418814081,2590.20683712,32.31186215802638,80.16272242225394,0.0773280401395428,43118,112009.0,1.0,9.69,,1.01,False,False,32.619108271609385,33.40578289695962,77.5376779855605
mu_N5468,33.18726848481228,0.0485085615123016,N5468,NGC 5468,211.6453774379183,-5.4529774527145,50323,10.441,0.00954,0.00086,0.00998,0.00019,0.00907,0.00019,129.581,250.0,1999cp,59.292776401821115,67.6076848302315,64.46435840244573,78.90803527832031,39.45401763916016,64.46435840244573,-3.14332642778578,2860.02004932,43.3963993376243,65.90454721989774,0.0260052986577388,50323,101135.0,3.0,10.03,,7.25,True,False,33.14830799126252,42.62472580096553,67.09767618622934
mu_N5584,31.865539486360575,0.0453757045325274,N5584,NGC 5584,215.5992125,-0.3874499999999999,51344,10.331,0.00625,0.00084,0.00635,1e-05,0.00552,1e-05,31.5763,250.0,2007af,46.38789811558817,54.18593,51.14581831770774,101.65324401855467,50.826622009277344,51.14581831770774,-3.040111682292256,1873.7028625,23.610647495037316,79.35838535956418,0.0586272072985873,51344,112716.0,1.0,10.16,,0.345,False,False,31.768295242122157,22.576626510486154,82.99303979847132
mu_N5728,32.91590277778204,0.103192618959824,N5728,NGC 5728,220.59954937774,-17.25312243994,52521,10.636,0.00996,0.00086,0.0105,0.00015,0.00974,0.00015,161.695,250.0,2009Y,22.839020246793933,176.0,166.738644821125,92.7088623046875,46.35443115234375,166.738644821125,-9.261355178874991,2985.93288168,38.2983933699789,77.96496455698828,0.0365494802511888,52521,108188.0,1.0,9.94,,7.61,False,False,33.11626954864202,42.00044673124126,71.09288386351777
mu_N5861,32.20520681791936,0.0756344575522644,N5861,NGC 5861,227.31704695833332,-11.321661111111112,54097,10.591,0.00677,0.00085,0.00727,0.00015,0.00662,0.00015,147.138,250.0,2017erp,48.52831499170101,112.15979439887336,106.35570801387212,90.59855651855467,45.299278259277344,106.35570801387212,-5.804086385001227,2029.59494066,27.60840794932227,73.51365368062892,0.0942537637305299,54097,101918.0,2.0,9.87,,3.45,True,False,32.292336703290296,28.73871467727888,70.62232822348935
mu_N5917,32.33689541476585,0.0769424972155627,N5917,NGC 5917,230.3856254335,-7.377089110400001,54809,9.184,0.0071,0.00084,0.00703,6e-05,0.00644,6e-05,-21.2471,250.0,2005cf,130.12865238403774,54.47058823529411,53.09891753205199,45.406829833984375,22.703414916992188,53.09891753205199,-1.371670703242117,2128.5264518,29.33452653109556,72.56045021022214,0.0244503923471914,54809,102898.0,2.0,9.53,,0.324,True,False,32.24908907418591,28.17200876482141,75.55465673636685
mu_N7250,31.60597223746062,0.103313425286753,N7250,NGC 7250,334.5740666666667,40.56240555555555,68535,9.131,0.00432,0.00084,0.00293,0.00012,0.00394,0.00012,-413.1,250.0,2013dy,24.99083467580744,41.8235294117647,40.5456510711402,52.13402557373047,26.06701278686523,40.5456510711402,-1.277878340624504,1295.10341856,20.9505026672098,61.81729570560621,0.0392499856663298,68535,212316.0,1.0,8.82,,0.055,False,False,31.45023761870685,19.50057977971459,66.41358529797286
mu_N7329,33.26914458542842,0.0702010071802581,N7329,NGC 7329,340.10094603963,-66.47895444826,69453,10.501,0.01028,0.00086,0.01042,0.00015,0.01077,0.00015,40.4087,250.0,2006bh,53.54862058969878,123.70785110805046,116.1236988515578,116.71355438232422,58.35677719116211,116.1236988515578,-7.584152256492658,3081.866468239999,45.06391479539326,68.38878695365918,0.0082401665546188,69453,209504.0,1.0,10.05,,3.48,False,False,33.37840283242537,47.389329769336904,65.03291950404645
mu_N7541,32.57968347083734,0.0843555788926216,N7541,NGC 7541,348.68273750000003,4.5339,70795,10.935,0.00814,0.00084,0.00769,2e-05,0.00893,2e-05,-134.006,250.0,1998dh,54.28672324231253,64.4,60.73086512365201,104.02104949951172,52.01052474975586,60.73086512365201,-3.669134876347997,2440.31060812,32.804747111030004,74.38894742460884,0.0819620572793603,70795,202905.0,2.0,9.55,,3.67,True,False,32.52569809948493,31.99923677229545,76.26152540715569
mu_N7678,33.266894397299865,0.0832042725418636,N7678,NGC 7678,352.11609521324993,22.421269142620005,71534,10.53,0.01061,0.00084,0.01049,1e-05,0.01169,1e-05,-34.4658,250.0,2002dp,45.51396021257647,76.86814,73.6325721323864,70.32686614990234,35.16343307495117,73.6325721323864,-3.2355678676135966,3180.7979793799996,45.017241503694024,70.65732757345849,0.0403911476414695,71534,209910.0,1.0,9.66,,2.82,False,False,33.261422314146785,44.90394143878535,70.8356076874939
mu_N976A,33.54384445493261,0.0823285152545171,N976A,NGC 976,38.50015860403,20.976747665440005,9776,10.854,0.01312,0.00085,0.01334,0.0,0.01413,0.0,64.7561,250.0,1999dq,7.695661697895833,217.6444785764,212.3592857687689,44.37324523925781,22.186622619628903,212.3592857687689,-5.285192807631091,3933.27704896,51.140961742487555,76.91050216782021,0.2312684437022446,9776,201272.0,3.0,10.28,,11.2,True,False,33.80511921038289,57.67981278232542,68.191571006022
mu_U9391,32.815990280599635,0.0544388860427793,U9391,UGC 9391,218.65422,59.337826,52091,9.345,0.00747,0.00084,0.00664,2e-05,0.00638,2e-05,-244.618,250.0,2003du,15.61952370749146,74.52721,72.38331363393829,49.78761291503906,24.89380645751953,72.38331363393829,-2.1438963660617105,2239.44966126,36.576155587561615,61.22703781426295,0.0138620846131986,52091,,,,,,False,False,32.80620879210382,36.41176728642357,61.503459682249414
